date,openingPrice,closingPrice
2021-11-18,613.00,613.00
2021-11-19,622.00,618.00
2021-11-22,618.00,615.00
2021-11-23,615.00,612.00
2021-11-24,612.00,603.00
2021-11-25,605.00,603.00
2021-11-26,598.00,596.00
2021-11-29,594.00,593.00
2021-11-30,597.00,596.00
2021-12-01,596.00,600.00
2021-12-02,605.00,615.00
2021-12-03,614.00,608.00
2021-12-06,603.00,600.00
2021-12-07,602.00,607.00
2021-12-08,614.00,602.00
2021-12-09,606.00,608.00
2021-12-10,605.00,605.00
2021-12-13,609.00,601.00
2021-12-14,598.00,599.00
2021-12-15,597.00,600.00
2021-12-16,605.00,605.00
2021-12-17,601.00,607.00
2021-12-20,607.00,598.00
2021-12-21,597.00,597.00
2021-12-22,598.00,600.00
2021-12-23,607.00,606.00
2021-12-24,606.00,604.00
2021-12-27,604.00,606.00
2021-12-28,610.00,615.00
2021-12-29,615.00,616.00
2021-12-30,619.00,615.00
